game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
e60a7c82-21bc-4051-895d-cd043c90a633,61,Classics GM,Gausdal NOR,2002.04.14,4,"Arkell,K","Carlsen,M",1-0,2463,,2127,,,,"Arkell,K",2463,"Carlsen,M",2127,336,D53,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
17e69e3d-1411-400d-b179-f09b912f37f9,62,Classics GM,Gausdal NOR,2002.04.15,5,"Carlsen,M","Kulaots,K",0-1,2127,,2531,,,,"Kulaots,K",2531,"Carlsen,M",2127,404,D39,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
0282ff4f-23b0-48cd-95e5-7fa5189c1545,63,Classics GM,Gausdal NOR,2002.04.15,6,"Carlsen,M","Royset,P",1-0,2127,,2280,,,,"Carlsen,M",2127,"Royset,P",2280,-153,B40,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
d24046bc-9337-4420-b5ac-c7cf53fede17,64,Classics GM,Gausdal NOR,2002.04.16,7,"Ostenstad,B","Carlsen,M",1-0,2438,,2127,,,,"Ostenstad,B",2438,"Carlsen,M",2127,311,D55,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
105e8dbc-e417-4587-ba6b-7145393145db,65,Classics GM,Gausdal NOR,2002.04.17,8,"Carlsen,M","Bluvshtein,M",0-1,2127,,2354,,,,"Bluvshtein,M",2354,"Carlsen,M",2127,227,B60,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
77e709d4-623a-4f63-a8cb-1c24d9e156c4,66,Classics GM,Gausdal NOR,2002.04.18,9,"Halkias,S","Carlsen,M",1/2-1/2,2546,,2127,,,,draw,,draw,,0,A85,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
b6495cb1-3876-4e6d-bda3-03301b61a75f,67,TCh-NOR Finals,Oslo NOR,2002.05.08,1,"Glenne,BE","Carlsen,M",0-1,2235,,2163,,,,"Carlsen,M",2163,"Glenne,BE",2235,-72,E02,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
0ecb85cd-46fe-4034-bd27-814af74c0507,68,TCh-NOR Finals,Oslo NOR,2002.05.09,2,"Hansen,Vi","Carlsen,M",0-1,2143,,2163,,,,"Carlsen,M",2163,"Hansen,Vi",2143,20,B53,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
e0dd6192-51fc-427f-adee-ad767497b68c,69,TCh-NOR Finals,Oslo NOR,2002.05.10,3,"Carlsen,M","Aarland,SA",1/2-1/2,2163,,2259,,,,draw,,draw,,0,D37,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
f165f331-13bf-40d2-99a0-e9f3db119acd,70,TCh-NOR Finals,Oslo NOR,2002.05.11,4,"Carlsen,M","Trygstad,K",1-0,2163,,2313,,,,"Carlsen,M",2163,"Trygstad,K",2313,-150,E68,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
0b4cbc86-a380-4bf8-bf7e-7822f3508055,71,TCh-NOR Finals,Oslo NOR,2002.05.12,5,"Hole,O","Carlsen,M",1-0,2237,,2163,,,,"Hole,O",2237,"Carlsen,M",2163,74,A04,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
61465491-cc9e-42cd-800c-1e968cfe8500,72,Magnus vs. the Net,Nettavisen INT,2002.05.15,1,"Carlsen,M",The Net,1/2-1/2,2163,,,,,,draw,,draw,,0,C78,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
617085c8-9000-43dc-873d-85ae1fba9016,73,IV Shakkinet A,Helsinki FIN,2002.06.24,1,"Carlsen,M","Sammalvuo,T",0-1,2163,,2440,,,,"Sammalvuo,T",2440,"Carlsen,M",2163,277,D36,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
913ade05-274b-4fc2-8cad-d2543641e2a7,74,IV Shakkinet A,Helsinki FIN,2002.06.25,2,"Carlsen,M","Nyysti,S",1-0,2163,,2242,,,,"Carlsen,M",2163,"Nyysti,S",2242,-79,C47,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
e8a9a786-c91d-4137-aaa3-9c2972a2072c,75,IV Shakkinet A,Helsinki FIN,2002.06.26,3,"Norri,J","Carlsen,M",1/2-1/2,2426,,2163,,,,draw,,draw,,0,E43,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
0c805f70-a515-4c91-8361-48a3ee5717f4,76,IV Shakkinet A,Helsinki FIN,2002.06.27,4,"Carlsen,M","Payen,A",0-1,2163,,2356,,,,"Payen,A",2356,"Carlsen,M",2163,193,D15,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
8e90c549-b13d-491d-93cf-ceaff5ee9ff0,77,IV Shakkinet A,Helsinki FIN,2002.06.28,5,"Solozhenkin,E","Carlsen,M",1-0,2499,,2163,,,,"Solozhenkin,E",2499,"Carlsen,M",2163,336,E11,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
c0b75a23-0965-40e4-8c78-8afbafa9e25d,78,IV Shakkinet A,Helsinki FIN,2002.06.29,6,"Carlsen,M","Karttunen,M",1/2-1/2,2163,,2429,,,,draw,,draw,,0,A10,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
d2612e3a-30fe-4479-923b-4fc92c0341c6,79,IV Shakkinet A,Helsinki FIN,2002.06.30,7,"Maki Uuro,Mi","Carlsen,M",1-0,2335,,2163,,,,"Maki Uuro,Mi",2335,"Carlsen,M",2163,172,D10,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
9c709d2b-322f-431a-ba52-d5a42d632668,80,IV Shakkinet A,Helsinki FIN,2002.07.01,8,"Carlsen,M","Hjelm,N",1-0,2163,,2313,,,,"Carlsen,M",2163,"Hjelm,N",2313,-150,C65,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
3237d7f7-d528-4d02-bc22-4aa664d45627,81,IV Shakkinet A,Helsinki FIN,2002.07.02,9,"Tiitta,S","Carlsen,M",1-0,2249,,2163,,,,"Tiitta,S",2249,"Carlsen,M",2163,86,B52,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
93b2f314-0c00-43e6-aaf7-821411751ac6,82,IV Shakkinet A,Helsinki FIN,2002.07.03,10,"Carlsen,M","Hansen,Vi",1-0,2163,,2143,,,,"Carlsen,M",2163,"Hansen,Vi",2143,20,E54,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
b3d64c26-a668-4947-a01e-976e2911fca2,83,IV Shakkinet A,Helsinki FIN,2002.07.04,11,"Agopov,M","Carlsen,M",1-0,2412,,2163,,,,"Agopov,M",2412,"Carlsen,M",2163,249,B59,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
307a9e95-14f5-4498-b2f3-e81e9f4c929c,84,ch-NOR,Roros NOR,2002.07.07,2,"Hansen,Vi","Carlsen,M",1/2-1/2,2142,,2214,,,,draw,,draw,,0,D13,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
7a134342-c48d-4e99-9619-54e49179e895,85,Open,Bergen NOR,2002.07.20,1,"Instefjord,Stian","Carlsen,M",0-1,,,2214,,,,"Carlsen,M",2214,"Instefjord,Stian",,0,B66,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
300e3530-ba12-4674-a9b1-f73ddf215b3d,86,Open,Bergen NOR,2002.07.21,2,"Carlsen,M","Fyllingen,R",0-1,2214,,2378,,,,"Fyllingen,R",2378,"Carlsen,M",2214,164,A29,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
0821dd50-6d64-411b-b415-4c87c12e4c2c,87,Open,Bergen NOR,2002.07.22,3,"Ellingsen,R","Carlsen,M",0-1,2053,,2214,,,,"Carlsen,M",2214,"Ellingsen,R",2053,161,B66,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
ac392904-f7b3-49eb-81ae-39d0038eb171,88,Open,Bergen NOR,2002.07.23,4,"Carlsen,M","Anagnostopoulos,D",0-1,2214,,2446,,,,"Anagnostopoulos,D",2446,"Carlsen,M",2214,232,B76,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
61d3b4cf-d302-4481-9793-18278909e4d0,89,Open,Bergen NOR,2002.07.24,5,"Sander,R","Carlsen,M",0-1,2061,,2214,,,,"Carlsen,M",2214,"Sander,R",2061,153,C01,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
fdbb5c69-73b0-4f5a-9322-e65e70b7437e,90,Open,Bergen NOR,2002.07.25,6,"Carlsen,M","Christenson,F",1/2-1/2,2214,,2225,,,,draw,,draw,,0,D30,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
fc905eef-048b-4e6e-b407-969e947745df,91,Open,Bergen NOR,2002.07.26,7,"Lahlum,H","Carlsen,M",1/2-1/2,2217,,2214,,,,draw,,draw,,0,D10,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
b16ea253-3751-400b-b9c0-f7d2dcc5a23d,92,Open,Bergen NOR,2002.07.27,8,"Carlsen,M","Manne,P",1-0,2214,,2338,,,,"Carlsen,M",2214,"Manne,P",2338,-124,E09,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
0bc58df2-37aa-40fa-852c-e30ed7c2b35e,93,Open,Bergen NOR,2002.07.28,9,"Yakovich,Y","Carlsen,M",1-0,2586,,2214,,,,"Yakovich,Y",2586,"Carlsen,M",2214,372,E12,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
